system:index,active_proportion,activity_label,alert_id,classification,count,label,n_active,n_coca,n_forest,n_historical,n_pixels,region,threat_level,.geo
+3228+5553,0.0,LOW RISK: Intact forest or RADD false positive,+3228+5553,0,2,1,0,0,46,1,47,Madre de Dios,LOW,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.49915925128302,-11.57308563684021]}"
+3228+5555,0.0,HISTORICAL DISTURBANCE: Abandoned site — possible Illegal gold mining,+3228+5555,1,1,1,0,0,10,35,45,Madre de Dios,MEDIUM,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.49915925128302,-11.584314577891702]}"
+3228+5579,0.0,HISTORICAL DISTURBANCE: Abandoned site — possible Illegal gold mining,+3228+5579,1,1,1,0,0,14,31,45,Madre de Dios,MEDIUM,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.49915925128302,-11.692112411986043]}"
+3228+5588,0.10638297872340426,LOW RISK: Intact forest or RADD false positive,+3228+5588,0,2,1,5,13,15,14,47,Madre de Dios,LOW,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.49915925128302,-11.730290811561124]}"
+3228+5591,0.15555555555555556,COCA CULTIVATION detected — illegal narcotics production in protected area,+3228+5591,3,1,1,7,25,13,0,45,Madre de Dios,HIGH,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.49915925128302,-11.746011329033218]}"
+3228+5605,0.4888888888888889,HISTORICAL DISTURBANCE: Abandoned site — possible Illegal gold mining,+3228+5605,1,2,1,22,0,0,23,45,Madre de Dios,MEDIUM,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.49915925128302,-11.806647610711282]}"
+3228+5640,0.044444444444444446,LOW RISK: Intact forest or RADD false positive,+3228+5640,0,1,1,2,0,25,18,45,Madre de Dios,LOW,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.49915925128302,-11.9660985736425]}"
+3228+5653,1.0,HIGH CONFIDENCE: Active Illegal gold mining,+3228+5653,2,2,1,47,0,0,0,47,Madre de Dios,CRITICAL,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.49915925128302,-12.02224327889997]}"
+3228+5668,0.0,HISTORICAL DISTURBANCE: Abandoned site — possible Illegal gold mining,+3228+5668,1,1,1,0,0,1,44,45,Madre de Dios,MEDIUM,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.49915925128302,-12.091862713419234]}"
+3228+5706,0.0,HISTORICAL DISTURBANCE: Abandoned site — possible Illegal gold mining,+3228+5706,1,1,1,0,8,0,37,45,Madre de Dios,MEDIUM,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.49915925128302,-12.262542617401943]}"
+3228+5711,0.17777777777777778,HISTORICAL DISTURBANCE: Abandoned site — possible Illegal gold mining,+3228+5711,1,1,1,8,1,11,25,45,Madre de Dios,MEDIUM,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.49915925128302,-12.28500049950493]}"
+3228+5723,0.5476190476190477,MODERATE CONFIDENCE: Likely active Illegal gold mining,+3228+5723,2,45,1,23,13,0,6,42,Madre de Dios,HIGH,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.47161091590336,-12.316940598495846]}"
+3228+5809,0.2222222222222222,COCA CULTIVATION detected — illegal narcotics production in protected area,+3228+5809,3,1,1,10,28,0,7,45,Madre de Dios,HIGH,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.49915925128302,-12.725174988723493]}"
